Avtosalon,Qiymet,Valyuta,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş,Sürətlər qutusu,Ötürücü,Yeni,Vəziyyəti,Yeniləndi,Baxışların sayı,Extra,Etrafli,Sahiblər,Hansı bazar üçün yığılıb,Yerlərin sayı,Qəzalı
0,13800,AZN,Bakı,Mercedes,C 200,1999,Sedan,Gümüşü,2.0 L/136 a.g./Benzin,298 500 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 25.05.2023,778,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Kondisioner, Oturacaqların isidilməsi, Ksenon lampalar, Yan pərdələr",Maşın saz vezyetdedi oz adimzadi fikiri cidi olanar zeng vursun,2,,4,
0,16000,AZN,Bakı,Khazar,LX,2023,Sedan,Ağ,1.7 L/113 a.g./Benzin,0 km,Mexaniki,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib", 17.05.2023,154881,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Park radarı, Kondisioner",İLKİN ÖDƏNİŞ 3050 AZN 12 AY - 1266  AZN 24 AY -  689   AZN 36 AY -  499   AZN 48 AY -  406   AZN ZƏMANƏT 2 İL VƏ YA 60 000 km,,,,
0,2800,AZN,Şamaxı,LADA (VAZ),2106,1989,Sedan,Bej,1.5 L/65 a.g./Benzin,27 600 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 25.05.2023,359,Yüngül lehimli disklər,"Maşın iline göre çox yaxşıdı . Elave suaçı olan buyurub zeng ede biler . Tekerler teze , akumlyator teze. , senedler qaydasındadı",,,,
0,11500,AZN,Bakı,Kia,Rio,2011,Sedan,Ağ,1.4 L/97 a.g./Benzin,389 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 25.05.2023,1939,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Kondisioner, Ksenon lampalar","2010cu-ildi coooooox tecili satiram 1.4benzin aftomat karopka!!! Mator,karopka,predok hamisi idealdi hec bir problemi yoxdu! Deyisen dedal qabaq sol krilo deyisib krla bokavinin ucunu sixdigina gore bakavinda yungul is gedb basqa hec bir yerine cekic bele deymeb yungul ezilib masin uadarr yoxdduu!!!! Real ancaq real fikri olan zeng vursun bos bekarlar zeng vursa yaxsi soz esitmeyecek!!!!",,,,
0,3000,AZN,Gəncə,LADA (VAZ),2107,1991,Sedan,Bej,1.6 L/75 a.g./Benzin,12 000 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,180,,masin yaxsi vezyetedi,,,,
0,13800,AZN,Bakı,Volkswagen,Passat CC,2012,Sedan,Qara,2.0 L/200 a.g./Benzin,234 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,5523,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr","Salam, mashin yaxshi veziyetdedir, polnu full modeldir, benson fiyoletovi potpress qoyulub, mashinin yag tezyiqi ashagidir",,Avropa,,
0,5500,AZN,Gəncə,Mercedes,190,1991,Sedan,Qara,2.0 L/122 a.g./Benzin,500 000 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,270,,Salam. Maşın 2 ildir məndədir. Rasxodsuz maşındır. Yeni maşın alacağım üçün satıram. Barter mümkündür.Kia Ceed unversal ilə. Qiymətdə razılaşmaq olar. Allah alana da satana da xeyir versin.,,Avropa,,
1,25900,USD,Lənkəran,Toyota,Corolla,2022,Sedan,Ağ,1.8 L/158 a.g./Hibrid,0 km,Avtomat,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,39716,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası","DİQQƏT DİQQƏT İLK ÖDENİŞ  20% ÖDMEKLƏ SƏRFƏLİ KREDİT .. İLLİK EFFEKTİV 6,7  %!!!!!! Bakida Tehvil vera Bilerik  3 İl və ya 100.000 km resmi zemanet   Köçürmə yolu ilə mümkündür!  Start Stop Distronic  Line asist ( Zolaga nezaret) Cruise Control ( Avto Pilot) ABS  VSC  Hill Assist Control (HAC)   Təhlükəsizlik:  Pre-crash sistem Lane-keep asist Road sing asist Immobilzer Ön sürücü və sərnişin təhlükəsizlik yastıqları  Uşaqlar üçün qoruyucu kəmərlər  İnteryer:  Sükanda audio idarə etmə sistemi  Dəri sükan  Maliyyə və çıxışa görə tənzimlənən sükan  Cruise Control (Avto Pilot) Start - Stop  Monitor 8"" AM/FM  USB/AUX çıxış+dinamiklər 6 ed Multi-İnformasion display  Bluetooth sistem  Lyuk  Eksteryer:  Təkər Disk ölçüləri : 205/55R16  Küzov rəngində elektiklə tənzimlənən yan güzgülər   Led tipli ön Faralar  Arxa görüntü kamerası  Led tipli gündüz işıqları  Qeyd: Avtomobil Stockda olmadıgı halda . sifarış edib 2 ay müddətinə eldə etmək mümkündür!",0,,,
1,54900,AZN,Bakı,Haval,H6,2022,Offroader / SUV,Qara,2.0 L/204 a.g./Benzin,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib", 18.05.2023,89322,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Oturacaqların ventilyasiyası","HAVAL brendinin Azərbaycandaki rəsmi distribyutoru olan ""Azərbaycan Avtomobiles"" şirkəti avtomobillərinə 5 il və ya 100 000 km zəmanət təqdim edir. Avtosalonda 60 ay müddətinədək lizinq və kredit şərtləri mövcuddur. Avtomobillər haqqında daha ətraflı məlumatı eldə etmək və Test-Drive keçirdmək üçün sizi Bakı şəh., Babək pr. 282 ünvanında yerləşən rəsmi satış mərkəzimizə dəvət edirik. Mühərrik 2.0 GDIT İntellektual Stop / Start sistemi Borg Warner intellektual 4WD sistemi Matrix tipli LED ön və arxa fənərlər 360 dərəcə görünüşlü 1280×720px kamera sistemi Duman əlehinə qarşı fənərlər 1.2 kv.m. panoramik lyuk 10.25 düymlük alətlər paneli 12.3 düymlük super intellektual monitor İntellektual tam rəngli head-up displey Apple CarPlay/Android Auto system Avtoparklama Simsiz doldurma (Wireless Charging System) 225/55 ölçülü şinli orijinal 19-düymlük yüngül lehimli disklər Tənzimlənən sükan reykası Elektron əl əyləci sistemi (EPB) ACC+ Avtomatik irəli hərəkət etmə və əyləmə İdarəetmə rejimləri (Standart, Sport, ECO, Qar) Əyləc növü (Ön və arxa ventilyasiyalı disk əyləclər) ESP 9.3 (elektron sabitlik proqramı) CBC (dönmə zamanı əyləcə nəzarət) HDC+HHC (təpədən enməyə nəzarət, yerindən start köməkçi sistem) LDW+LKA (hərəkət zolağında qalma köməkçisi) TJA (tıxac köməkçisi) Dəri oturacaqlar Sürücü üçün görünməyən yerlərin aşkarlanması 6 istiqamətdə elektron tənzimlənən sürücü oturacağı Sürücü oturacağının 2 tərəfli elektrik bel dəstəyi 4 tərəfli elektrik ön sərnişin oturacağı Ön və arxa oturacaqların isidilmə sistemi Havalandırılan ön oturacaqlar Sükanın isidilməsi İkili SRS hava yastıqları Ön və yan hava yastıqları İsidilən və elektriklə qatlanan yan elektrik güzgülər ABS+ERD+ ESC TCS (Dartmaya nəzarət sistemi) HHC (yerindən start köməkçi sistem) HDC (təpədən enməyə nəzarət) RMI (yana hərəkətə müdaxilə) BA (əyləc köməkçisi) SCM (ikincil toqquşmanın azaldılması) TPMS (təkərlərin təzyiqinə nəzarət sistemi) ELK (fövqəladə hallarda zolaq saxlama) Toqquşma zamanı yanacaq kəsmə sistemi Sürücü üçün görünməyən yerlərin aşkarlanması Ağıllı təhlükədən qaçınma sistemi BSW+LCA (yolun pis görünən hissəsinin aşkarlanması+zolaq dəyişdirmə) RCW (Arxadan toqquşma xəbərdarlığı) DOW (açıq qapı xəbərdarlığı) Gecikmiş bağlanma və yaddaş funksiyası olan elektrik arxa qapı Ön sərnişinlər üçün 12V çıxış USB konnektorları (2 ön, 2 arxa)",,,,
1,63900,USD,Lənkəran,Toyota,Highlander,2022,Offroader / SUV,Qara,2.5 L/249 a.g./Hibrid,0 km,Avtomat,Tam,Bəli,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,6365,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası","TOYOTA SERVIS MAWINIDIR 3 IL VE YA 100.000 KM RESMI ZEMANET...  ==============================  -Avtomobili Bakida Tehvil Verə Bilərik !!!  ====================== İlkin Ödenis 20 % olmaqla Normal Kredit  İllik Efektiv 9 %  Fiiziki və hüquqi şəxslər üçün manatla kredit və lizinq mümkündür!  Distronic  Line Asist( Zolaga Nezaret)  360 derece Kamera  Hed Up  ABS + VSC with trailer sway  Hill assist control (hac)  Ön sürücü və sərnişin, yan və pərdə tipli təh. yastıqları  Sürücü diz üçün təhlükəsizlik yastığı  Immobilizer+siqnalizasiya  Usaqlar üçün qoruyucu kəmərlər  Sərnişinin təhlükəsizlik kəmər xatırladıcısı  Sükanda audio və telefon idarəetmə sistemi  Dəri ilə işlənmiş sükan çarxı  Mailliyə və çıxışa görə tənzimlənən sükan  tənzimlənən sürücü və sərnişin oturacağı  Qızdırılan sürücü və ön sərnişin oturacaqları  Dəri oturacaqlar  Açarsız daxilolma və bir toxunuşla işəsalma  Yağış və işıq sensorları  3 zonalı avtomatik kondinsioner  Cold area package - Soyuq zona hava paketi  Multi məlumat displeyi ( 7""dyum )  Premium display 8""dyum + Bluetooth + 9 dinamik  usb*1, vtr (aux) *1  Kruiz kontrol  Təkər-disk ölçüləri 235/55/20  Kuzov rəngində elektriklə tənzimlənən, qatlanan, qızdırılan yan güzgülər  Yan güzgülərdə dönmə işıqları  LED ön faralar (yaxın və uzaq işıqlar) + fara təmizləyənlər  Ön faraların səviyyə tənzimləyicisi  LED Gündüz işıqları  LED Ön duman əleyhinə faralar  Arxa görüntülü kamera  Arxa və Qabag park sensorları  ECo / Normal / Sport Rejim",0,Rəsmi diler,5,
0,10000,AZN,Bakı,Toyota,Prius,2005,Liftbek,Qara,1.5 L/76 a.g./Hibrid,296 000 km,Avtomat,Ön,Xeyr,"Vuruğu var, rənglənib", 26.05.2023,1687,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner, Ksenon lampalar, Yan pərdələr",Salam maşın qalmaq şərti ilə verilir . Nağd satılmır. İlkin ödəniş 800azn . Günlük 25 azn . Allah xeyr versin . 2 detalı dəyişib qalan butun detallar bez kraskadır .,3,Amerika,4,
1,13300,AZN,Sumqayıt,Honda,Civic,2006,Sedan,Yaş Asfalt,1.3 L/99 a.g./Benzin,181 021 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,1763,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Masin herbir funksiyasi islekdir olkeye yeni gelib katalizatoru ustundedir Kredit ve barter mumkundur ilkin odenis 6500 azn 6-aydan 30-ayadek serfeli sertlerle Tek sexsiyyet vesiqesiyle yerinde senedlesdirme etrafli melumat ucun elaqe saxlaya bilersiniz Unvan -Baki -Sumqayit sosesi saray postunu uzu Sumqayita kecdikde yerustu piyada kecidinin yani -Ovqat restoraniyla yanbayan Waze naviqatorda unvan var 021 CARS yazmaginiz bes edir _021 CARS_,,,5,
0,18500,AZN,Bakı,Khazar,SD,2022,Sedan,Boz,1.7 L/113 a.g./Benzin,0 km,Mexaniki,Ön,Bəli,"Vuruğu yoxdur, rənglənməyib", 10.05.2023,334547,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner",İLKİN ÖDƏNİŞ 3200 AZN 48 AY -  468AZN 36 AY -  575azn 24 AY -  794azn 12 AY -  1458azn ZƏMANƏT 2 İL VƏ YA 60 000 km DYP xercleri ilkin odenise daxil deyil.,,,,
0,4000,AZN,Saatlı,LADA (VAZ),2106,1990,Sedan,Ağ,1.5 L/65 a.g./Benzin,758 377 km,Mexaniki,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,274,"Dəri salon, Yan pərdələr","Salam Aleykum,maşin il yarimdi məndədi texpasport öz adimadi xərc qoymuşam üstünə mator təzə yığılıb 03-di,karopka təzə yiğilib 4-di,difir superdi,peredok zbor dəyişib yiğilib,təkərlər təzədi, 100/7-8 yandirir  bir sözlə otur sür.Xirda para işləri var onuda puldan çixacam çox xahiş edirəm maraqlananlar yox ciddi şəxslər yiğsin.Allah alanada satanada xeyr versin",4 və daha çox,Rusiya,5,
0,13900,AZN,Bakı,Hyundai,i30,2008,Hetçbek,Qara,1.4 L/109 a.g./Benzin,148 334 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,1473,"ABS, Mərkəzi qapanma, Kondisioner","Masil almaniyadan gelib servis kitabcasi var prabeg 100%orginal zavod katalizator ustundedi,udar vuruq geti yoxdu.pas curuk yoxdu",1,,5,
0,13700,AZN,Bakı,Hyundai,i30,2009,Hetçbek,Qara,1.4 L/109 a.g./Benzin,171 400 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,887,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner",masin teze gelib ela veziyyetdedir mator karobka kondisener isleyir auto stopu var tekeler teze vuruqu udari yoxdur isdenilen yerde yoxlatdira bilersiz kredite salmaga komeklik ederem ilkin odenis 5000 azn,,,,
0,29500,AZN,Bakı,Kia,Sorento,2011,Offroader / SUV,Ağ,2.0 L/184 a.g./Dizel,210 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənib", 27.05.2023,474,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Oturacaqların ventilyasiyası","Özüm gətizdirmişəm şəxsi istifadəmdə olub daima qarajda saxlanılıb çox az sürülüb vuruğu qətiyyən olmayıb satma səbəbim elektromobil almağımdır Karopka yağı,karopkanın filtrinə qədər dəyişmişəm,daima bardahl yanacaq qatqısından istifadə olunub və alınan gündən sadəcə bardahl yağı tökmüşəm, istənilən yerdə yoxlatdira bilərsiz Start stop Açarsız daxilolma Oturacaqların qızdırılması (ön və arxa) ventiliyasiyası 7 nəfərlik Altında pası çürüyü qətiyyən yoxdur Autowini maşınları ilə səhf salmayın tam real yürüyüş Detal dəyişməyib Lizinq mümkündür Alverçilər narahat etməsin",,Koreya,7,
0,7500,AZN,Quba,Nissan,Maxima,2003,Sedan,Yaş Asfalt,3.0 L/200 a.g./Benzin,292 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,228,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner, Ksenon lampalar, Yan pərdələr","Maşın yaxşı vəziyyətdədir. Çən yuyulub, ümumi sistem təmizlənib. Benzin nasos açılaraq təmizlənib filteri dəyişilib. Şamlar yenilənib. forsunkalar yuyulub. amartizatorlar doldurulub. təkərlər Lassa (yay təkərləri) .Balans razval olunub. Kondisioner işləyir. Katalizator yuyulub. Bobinlər  tok sistemi yoxlanılıb lazımi hissələr yenilənib, karopkanın və motorun yağı dəyişilib karopkada gecikmə yoxdur. Motor əla vəziyyətdədir.  vozduxomer dəyişilib. filterlər hamısı yenilənib. Bahalı Led işıqlar quraşdırılmışdır. Sənədləri qaydasındadır. Maşının bəzi xırda xərcləri var. Qiymətdə nəzərə alınacaq. Ətraflı məlumat üçün əlaqə saxlayın.",3,Avropa,5,
0,14600,AZN,Bakı,Nissan,Note,2013,Hetçbek,Ağ,1.2 L/98 a.g./Benzin,64 000 km,Variator,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,289,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Kondisioner, Dəri salon, Arxa görüntü kamerası, Yan pərdələr","Masin Azerbaycana yeni getirmisem,Bezkraska masindi ,otur surdu ,hec 1xerci yoxdu, Android manitor  Climat control  Auto Start Stop Açarsız daxil olma  Eco rejim  Sport rejim  Qatlanan güzgülər",1,,5,
1,26900,AZN,Sumqayıt,Hyundai,ix35,2012,Offroader / SUV,Ağ,2.0 L/163 a.g./Benzin,178 130 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,369,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr",Avtomobil yaxşı veziyyetdedir. Mator Karopka peredok sistemi əla vəziyyətdədir. Salonu çox səliqəlidir. Alıcı istənilən servisde yoxlada bilər. ********************************************* Kredit Barter mümkündür. İlkin ödəniş 50 faiz olmaqla istənilən avtomobilin 1 saat ərzində rəsmiləşdirib müştəriyə verilməsi. ********************************************* Ünvan: Abşeron rayonu Saray qəsəbəsi Heyder Əliyev prospekti 7 ( SARAY H MTK) nın altı,,Rəsmi diler,5,
0,41800,USD,Bakı,Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,4.0 L/282 a.g./Benzin,162 500 km,Avtomat,Tam,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,340,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası",Salam.Ozune temiz seliqeli masin axtaranlar buyursun.Alverci deyilem oz masinimdir ozumun adinadir.bezi les ve probekti cekilmis masinlarla bir tutmayin.1 detalinda ksok rengi var.Masin cox seliqeli masindir.tekerleri tezedir.stoplari yeni modelin stopundandir.qabaq kamerasi var.N 1 dir.Taniyanla bilir nece masin olduqunu.masina baxdiqdan sonra cuzi endirim edilecek.,,,,
0,45000,USD,Bakı,Mercedes,S 500,2013,Sedan,Qara,4.7 L/435 a.g./Benzin,162 500 km,Avtomat,Arxa,Xeyr,"Vuruğu yoxdur, rənglənməyib", 28.05.2023,22684,"Yüngül lehimli disklər, ABS, Lyuk, Yağış sensoru, Mərkəzi qapanma, Park radarı, Kondisioner, Oturacaqların isidilməsi, Dəri salon, Ksenon lampalar, Arxa görüntü kamerası, Yan pərdələr, Oturacaqların ventilyasiyası","Avtomobil tam ideal veziyyetdedir.Hec bir problemi yoxdur. Butun rasxodnikleri yenilenib. Shexsi nomre,ile hazir kreditdedir/ ilkin odenish 19500usd banka borcu25500 (19 ay 3000 azn odemek sherti ile) .barter yalniz Mercedes G 63 (2013)(2014) ile olar. qiymet meselesi avtomobile yerinde baxildiqdan sora olacaq.Lizinq deyil şexsı nomre ile verilecek.",2,Avropa,,
0,8500,AZN,Bakı,Ravon,Nexia R3,2017,Sedan,Göy,1.5 L/107 a.g./Benzin,271 480 km,Mexaniki,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 27.05.2023,538,"Yüngül lehimli disklər, ABS, Yağış sensoru, Mərkəzi qapanma, Kondisioner, Ksenon lampalar, Yan pərdələr, Oturacaqların ventilyasiyası","Tecili satilir!Mator karobka ideal veziyyetde, ferodo yenk deyişib! Tekerler yeni, kondisoner işleyir",2,,5,
0,23500,AZN,Bakı,Chevrolet,Cruze,2016,Sedan,Gümüşü,1.4 L/153 a.g./Benzin,145 000 km,Avtomat,Ön,Xeyr,"Vuruğu yoxdur, rənglənməyib", 26.05.2023,832,"Yüngül lehimli disklər, ABS, Mərkəzi qapanma, Kondisioner, Dəri salon, Ksenon lampalar",Ela veziyetdedir.Hazir lizing.Ilkin odenis 12000 azn.24 ay 482 m.kasko sigortasi var.Odeniw her ayin 17 dir. Disk ve tekerler  3000 manat pul verilib,,,,
